"","Year","Player","PTS","STL","BLK","TRB","AST"
"3989",1974,"Bob McAdoo*",2261,NA,NA,NA,NA
"3853",1974,"Kareem Abdul-Jabbar*",2191,NA,NA,NA,NA
"3982",1974,"Pete Maravich*",2107,NA,NA,NA,NA
"3928",1974,"Gail Goodrich*",2076,NA,NA,NA,NA
"3862",1974,"Rick Barry*",2009,NA,NA,NA,NA
"4058",1974,"Rudy Tomjanovich",1961,NA,NA,NA,NA
"3971",1974,"Bob Lanier*",1822,NA,NA,NA,NA
"3977",1974,"Bob Love",1785,NA,NA,NA,NA
"3882",1974,"Austin Carr",1775,NA,NA,NA,NA
"4019",1974,"Geoff Petrie",1771,NA,NA,NA,NA
"4256",1975,"Bob McAdoo*",2831,NA,NA,NA,NA
"4117",1975,"Rick Barry*",2450,NA,NA,NA,NA
"4109",1975,"Tiny Archibald*",2170,NA,NA,NA,NA
"4099",1975,"Kareem Abdul-Jabbar*",1949,NA,NA,NA,NA
"4209",1975,"Elvin Hayes*",1887,NA,NA,NA,NA
"4240",1975,"Bob Lanier*",1823,NA,NA,NA,NA
"4360",1975,"Sidney Wicks",1778,NA,NA,NA,NA
"4143",1975,"Fred Brown",1700,NA,NA,NA,NA
"4252",1975,"Pete Maravich*",1700,NA,NA,NA,NA
"4150",1975,"Fred Carter",1686,NA,NA,NA,NA
"4532",1976,"Bob McAdoo*",2427,NA,NA,NA,NA
"4376",1976,"Kareem Abdul-Jabbar*",2275,NA,NA,NA,NA
"4382",1976,"Tiny Archibald*",1935,NA,NA,NA,NA
"4603",1976,"Randy Smith",1787,NA,NA,NA,NA
"4536",1976,"George McGinnis",1769,NA,NA,NA,NA
"4411",1976,"Fred Brown",1757,NA,NA,NA,NA
"4553",1976,"Calvin Murphy*",1722,NA,NA,NA,NA
"4390",1976,"Rick Barry*",1701,NA,NA,NA,NA
"4632",1976,"Paul Westphal",1679,NA,NA,NA,NA
"4443",1976,"John Drew",1660,NA,NA,NA,NA
"4850",1977,"Pete Maravich*",2273,NA,NA,NA,NA
"4651",1977,"Kareem Abdul-Jabbar*",2152,NA,NA,NA,NA
"4954",1977,"David Thompson*",2125,NA,NA,NA,NA
"4826",1977,"Billy Knight",2075,NA,NA,NA,NA
"4786",1977,"Elvin Hayes*",1942,NA,NA,NA,NA
"4764",1977,"George Gervin*",1895,NA,NA,NA,NA
"4857",1977,"Bob McAdoo*",1861,NA,NA,NA,NA
"4679",1977,"Ron Boone",1818,NA,NA,NA,NA
"4737",1977,"John Drew",1790,NA,NA,NA,NA
"4746",1977,"Julius Erving*",1770,NA,NA,NA,NA
"5136",1978,"George Gervin*",2232,NA,NA,NA,NA
"5334",1978,"David Thompson*",2172,NA,NA,NA,NA
"5224",1978,"Bob McAdoo*",2097,NA,NA,NA,NA
"5322",1978,"Randy Smith",2021,NA,NA,NA,NA
"5361",1978,"Paul Westphal",2014,NA,NA,NA,NA
"5094",1978,"Walter Davis",1959,NA,NA,NA,NA
"5245",1978,"Calvin Murphy*",1949,NA,NA,NA,NA
"5198",1978,"Bernard King*",1909,NA,NA,NA,NA
"5029",1978,"Rick Barry*",1898,NA,NA,NA,NA
