,Player,height,weight,collage,born,birth_city,birth_state,G/season,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Curly Armstrong,180,77,Indiana University,1918,,,50.5,#DIV/0!,#DIV/0!,#DIV/0!,0.37,#DIV/0!,0.4275,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.2,2.25,2.05,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,108,374,0.2945,#DIV/0!,#DIV/0!,#DIV/0!,108,374,0.2945,0.2945,114,165.5,0.6745,#DIV/0!,#DIV/0!,89,126.5,#DIV/0!,#DIV/0!,#DIV/0!,157,330
1,Cliff Barker,188,83,University of Kentucky,1921,Yorktown,Indiana,49.66666667,#DIV/0!,494,10.8,0.366666667,#DIV/0!,0.361666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3.70074E-17,0.7,0.7,0.008,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,67,212.3333333,0.307333333,#DIV/0!,#DIV/0!,#DIV/0!,67,212.3333333,0.307333333,0.307333333,51.66666667,78,0.648333333,#DIV/0!,#DIV/0!,90.5,98,#DIV/0!,#DIV/0!,#DIV/0!,84.33333333,185.6666667
2,Leo Barnhorst,193,86,University of Notre Dame,1924,,,68.8,#DIV/0!,2426.333333,15.95,0.3958,#DIV/0!,0.2088,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.65,2.925,3.55,0.0865,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,271.2,737.8,0.3622,#DIV/0!,#DIV/0!,#DIV/0!,271.2,737.8,0.3622,0.3622,104,156.4,0.6768,#DIV/0!,#DIV/0!,376.5,223.2,#DIV/0!,#DIV/0!,#DIV/0!,206.6,646.4
3,Ed Bartels,196,88,North Carolina State University,1925,,,11.75,#DIV/0!,#DIV/0!,#DIV/0!,0.32575,#DIV/0!,0.49925,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.45,0,-0.425,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,17,67.25,0.25225,#DIV/0!,#DIV/0!,#DIV/0!,17,67.25,0.25225,0.25225,15.5,28.5,0.574,#DIV/0!,#DIV/0!,84,13,#DIV/0!,#DIV/0!,#DIV/0!,28,49.5
4,Ralph Beard,178,79,University of Kentucky,1927,Hardinsburg,Kentucky,63,#DIV/0!,#DIV/0!,#DIV/0!,0.4285,#DIV/0!,0.321,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3.85,1.75,5.65,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,374.5,1023,0.3655,#DIV/0!,#DIV/0!,#DIV/0!,374.5,1023,0.3655,0.3655,254,330,0.7685,#DIV/0!,#DIV/0!,251,275.5,#DIV/0!,#DIV/0!,#DIV/0!,114,1003
5,Gene Berce,180,79,Marquette University,1926,,,3,#DIV/0!,#DIV/0!,#DIV/0!,0.275,#DIV/0!,0.313,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.1,0,-0.1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,5,16,0.313,#DIV/0!,#DIV/0!,#DIV/0!,5,16,0.313,0.313,0,5,0,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,#DIV/0!,#DIV/0!,6,10
6,Charlie Black,196,90,University of Kansas,1921,Arco,Idaho,35.75,#DIV/0!,117,1.1,0.317,#DIV/0!,0.3895,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.225,2.525,1.3,-0.148,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,114.5,414.25,0.2565,#DIV/0!,#DIV/0!,#DIV/0!,114.5,414.25,0.2565,0.2565,105.75,163.5,0.597,#DIV/0!,#DIV/0!,31,83.75,#DIV/0!,#DIV/0!,#DIV/0!,144.25,334.75
7,Nelson Bobb,183,77,Temple University,1924,Philadelphia,Pennsylvania,56.75,#DIV/0!,1239,12.2,0.41025,#DIV/0!,0.52075,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.575,0.875,1.525,0.0615,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90.25,257.5,0.34625,#DIV/0!,#DIV/0!,#DIV/0!,90.25,257.5,0.34625,0.34625,82.5,134.75,0.606,#DIV/0!,#DIV/0!,135,122,#DIV/0!,#DIV/0!,#DIV/0!,130.75,263
8,Jake Bornheimer,196,90,Muhlenberg College,1927,New Brunswick,New Jersey,60,#DIV/0!,#DIV/0!,#DIV/0!,0.356,#DIV/0!,0.384,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.7,1.5,0.8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,88,305,0.289,#DIV/0!,#DIV/0!,#DIV/0!,88,305,0.289,0.289,78,117,0.667,#DIV/0!,#DIV/0!,#DIV/0!,40,#DIV/0!,#DIV/0!,#DIV/0!,111,254
9,Vince Boryla,196,95,University of Denver,1927,East Chicago,Indiana,57,#DIV/0!,1720.666667,10.26666667,0.4316,#DIV/0!,0.299,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,1.24,3.2,0.038666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,237.4,640,0.3672,#DIV/0!,#DIV/0!,#DIV/0!,237.4,640,0.3672,0.3672,162.6,199.2,0.8242,#DIV/0!,#DIV/0!,207.75,122,#DIV/0!,#DIV/0!,#DIV/0!,184.4,637.4
