Player,Pos,Tm,Total Rebounds,Asists,Steals,Blocks,Points
Alex Abrines (SG),SG,OKC,86,40,37,8,406
Quincy Acy (PF),PF,TOT,230,36,28,30,444
Steven Adams (C),C,OKC,615,86,88,78,905
Arron Afflalo (SG),SG,SAC,125,78,21,7,515
Alexis Ajinca (C),C,NOP,177,12,20,22,207
Cole Aldrich (C),C,MIN,158,25,25,23,105
LaMarcus Aldridge (PF),PF,SAS,524,139,46,89,1243
Lavoy Allen (PF),PF,IND,220,57,18,24,177
Tony Allen (SG),SG,MEM,391,98,115,29,643
Al-Farouq Aminu (SF),SF,POR,451,99,60,44,532
Chris Andersen (C),C,CLE,31,5,5,7,28
Alan Anderson (SF),SF,LAC,24,11,3,0,86
Justin Anderson (SF),SF,TOT,490,132,82,46,1064
Kyle Anderson (SG),SG,SAS,208,91,51,26,246
Ryan Anderson (PF),PF,HOU,330,68,32,14,979
Giannis Antetokounmpo (SF),SF,MIL,700,434,131,151,1832
Carmelo Anthony (SF),SF,NYK,436,213,60,34,1659
Joel Anthony (C),C,SAS,31,3,2,6,25
Trevor Ariza (SF),SF,HOU,459,175,147,20,936
Darrell Arthur (PF),PF,DEN,112,42,19,21,262
Omer Asik (C),C,NOP,163,15,5,10,85
D.J. Augustin (PG),PG,ORL,117,209,31,1,616
Luke Babbitt (SF),SF,MIA,142,36,21,11,324
Ron Baker (SG),SG,NYK,98,107,34,8,215
Wade Baldwin (PG),PG,MEM,46,61,18,7,106
Leandro Barbosa (SG),SG,PHO,104,81,31,8,419
J.J. Barea (PG),PG,DAL,84,193,14,1,381
Harrison Barnes (PF),PF,DAL,397,117,66,15,1518
Matt Barnes (SF),SF,TOT,774,388,96,52,1054
Will Barton (SG),SG,DEN,258,206,48,28,820
Brandon Bass (PF),PF,LAC,129,21,14,11,292
Nicolas Batum (SG),SG,CHO,481,455,86,29,1164
Jerryd Bayless (PG),PG,PHI,12,13,0,0,33
Aron Baynes (C),C,DET,333,32,17,39,365
Kent Bazemore (SF),SF,ATL,231,177,91,52,801
Bradley Beal (SG),SG,WAS,239,267,83,21,1779
Malik Beasley (SG),SG,DEN,17,11,7,0,83
Michael Beasley (PF),PF,MIL,193,53,28,27,528
