Year,Field.Goals,Field.Goal.Attempts,Field.Goal.Percentage,Two.Point.Field.Goals,Two.Point.Field.Goal.Attempts,Two.Point.Field.Goal.Percentage,Free.Throws,Free.Throw.Attempts,Free.Throw.Percentage,Total.Rebounds,Assists,Personal.Fouls,Points
1950,116.7820513,347.8044872,0.318108974,116.7820513,347.8044872,0.318108974,98.36538462,138.7564103,0.683685065,207.51,81.71794872,114.9903846,331.9294872
1951,133.4195402,375.0689655,0.332741379,133.4195402,375.0689655,0.332741379,108.6666667,148.2471264,0.701023121,208.5574713,93.05172414,123.4942529,375.5057471
1952,157.8923077,432.5538462,0.3445,157.8923077,432.5538462,0.3445,131.1076923,179.0769231,0.691976923,256.2076923,116.0384615,144.5230769,446.8923077
1953,138.6375,377.91875,0.336775,138.6375,377.91875,0.336775,124.95,174.61875,0.701811321,228.0625,102.30625,142.21875,402.225
1954,148.778626,400.3358779,0.343492308,148.778626,400.3358779,0.343492308,124.2137405,175.4503817,0.678472441,249.0610687,106.9618321,136.0152672,421.7709924
1955,181.2477064,472.6788991,0.346761468,181.2477064,472.6788991,0.346761468,144.412844,196.0091743,0.699160377,288.3394495,129.0642202,135.7706422,506.9082569
1956,201.9528302,525.5660377,0.367132075,201.9528302,525.5660377,0.367132075,159.9433962,215.2075472,0.728754717,313.1415094,140.4150943,152.3773585,563.8490566
1957,201.4579439,531.728972,0.358233645,201.4579439,531.728972,0.358233645,154.5981308,205.8785047,0.720628571,316.682243,105.7009346,140.7383178,557.5140187
1958,208.1621622,544.2072072,0.352108108,208.1621622,544.2072072,0.352108108,152.0810811,204.0540541,0.711898148,333.6126126,103.8198198,138.0720721,568.4054054
1959,227.4454545,578.1454545,0.389818182,227.4454545,578.1454545,0.389818182,154.4818182,204.9181818,0.730140187,336.8363636,111.2545455,146.1909091,609.3727273
1960,242.4188034,592.4017094,0.383752137,242.4188034,592.4017094,0.383752137,142.7435897,194.1623932,0.691719298,351.3076923,121.4273504,142.3846154,627.5811966
1961,282.125,681.8653846,0.386413462,282.125,681.8653846,0.386413462,169.8461538,232.3269231,0.698834951,403.2211538,150.75,168.3557692,734.0961538
1962,274.704,644.944,0.394296,274.704,644.944,0.394296,159.808,220.424,0.689098361,368.28,143.576,156.256,709.216
1963,254.2481203,577.6992481,0.416601504,254.2481203,577.6992481,0.416601504,146.6466165,202,0.677393939,329.0075188,128.8270677,149.8721805,655.1428571
1964,249.4222222,576.5333333,0.409607407,249.4222222,576.5333333,0.409607407,147.4666667,203.9333333,0.683687023,332.7555556,125.8888889,156.1555556,646.3111111
1965,247.1969697,579.0227273,0.400666667,247.1969697,579.0227273,0.400666667,148.0681818,207.7727273,0.706728682,345.6287879,119.6060606,148.7575758,642.4621212
1966,260.0148148,599.0074074,0.409948148,260.0148148,599.0074074,0.409948148,156.8814815,218.0592593,0.690038168,354.3333333,132.6444444,153.9481481,676.9111111
1967,284.7593985,647.9699248,0.419518797,284.7593985,647.9699248,0.419518797,165.9398496,227.0225564,0.703052632,375.9323308,139.0827068,165.6240602,735.4586466
1968,269.0282486,603.1073446,0.419740113,269.0282486,603.1073446,0.419740113,160.1920904,223.4180791,0.692895954,346.3672316,136.4915254,159.0903955,698.2485876
1969,269.1893204,611.7330097,0.416548544,269.1893204,611.7330097,0.416548544,154.4029126,216.3058252,0.675406863,356.1893204,141.3009709,159.2621359,692.7815534
1970,278.9253731,606.5970149,0.445482587,278.9253731,606.5970149,0.445482587,154.8855721,206.4626866,0.734873096,328.2288557,150.1144279,155.358209,712.7363184
1971,258.1428571,576.0571429,0.422114754,258.1428571,576.0571429,0.422114754,142.722449,191.9836735,0.710545833,314.0571429,143.5061224,145.3918367,659.0081633
1972,249.7811321,551.3660377,0.424443182,249.7811321,551.3660377,0.424443182,134.9811321,180.7283019,0.709393939,296.7924528,139.0226415,138.5584906,634.5433962
1973,248.330855,546.6840149,0.424632959,248.330855,546.6840149,0.424632959,108.0074349,142.7992565,0.726899614,289.8364312,140.5724907,132.7695167,604.669145
1974,254.6040816,553.9428571,0.43942623,254.6040816,553.9428571,0.43942623,115.3795918,149.8244898,0.726588235,284.8653061,147.0897959,142.0857143,624.5877551
1975,238.8550725,523.5978261,0.43704,238.8550725,523.5978261,0.43704,111.1811594,145.2898551,0.734518519,269.3695652,136.5181159,141.5072464,588.8913043
1976,237.1240876,517.7554745,0.435890511,237.1240876,517.7554745,0.435890511,114.2445255,152.5437956,0.72613806,272.0912409,129.8832117,142.0729927,588.4927007
1977,235.2913165,506.9467787,0.439519663,235.2913165,506.9467787,0.439519663,115.1680672,153.5742297,0.730917614,260.9131653,130.2240896,139.4145658,585.7507003
1978,235.815508,505.9304813,0.439560322,235.815508,505.9304813,0.439560322,116.3663102,154.8529412,0.73098892,253.3208556,135.4197861,137.868984,587.9973262
1979,253.6133721,524.005814,0.460763158,253.6133721,524.005814,0.460763158,120.8517442,161,0.737086826,256.3866279,145.502907,144.247093,628.0784884
1980,244.5770308,508.9971989,0.457494382,240.2044818,493.5294118,0.462730337,118.8991597,156.1680672,0.740132768,253.4565826,143.7703081,137.2997199,612.4257703
1981,235.8567493,487.369146,0.452093664,233.0055096,475.9063361,0.457550964,118.4132231,157.7355372,0.722497126,236.9201102,141.7713499,138.9421488,592.9779614
1982,236.4664879,482.5227882,0.470002681,233.233244,470.0428954,0.475892761,115.7077748,155.4423592,0.710682927,237.1849866,134.0455764,143.7184987,591.8739946
1983,227.9514066,471.4219949,0.46058312,225.1611253,459.6777494,0.46641688,109.9462916,148.7774936,0.709817232,235.8772379,134.7084399,138.0741688,568.6393862
1984,243.5276968,495.4227405,0.470380117,240.2069971,482.0145773,0.476789474,126.3381924,166.6268222,0.727153153,240.6093294,146.9475219,144.877551,616.7142857
1985,232.5718232,473.9005525,0.45751105,227.8977901,457.3038674,0.465538674,119.0939227,156.038674,0.737831429,232.6767956,138.7707182,134.1850829,588.9116022
1986,222.6332454,458.2427441,0.453333333,217.6569921,440.6253298,0.460777778,118.2612137,156.3746702,0.722338753,225.4722955,135.1556728,131.1846966,568.5039578
1987,221.2936508,461.4391534,0.456050398,214.010582,437.1613757,0.468180371,120.5634921,158.452381,0.735430518,228.8068783,135.7010582,128.9761905,570.4338624
1988,205.9835681,429.8685446,0.453438679,197.9248826,404.6690141,0.465253555,108.7652582,142.1502347,0.736591787,212.870892,127.028169,119.6431925,528.7910798
1989,213.869863,449.2671233,0.446373853,203.1894977,416.1712329,0.458862069,111.913242,145.7420091,0.73323753,221.7237443,127.609589,120.6141553,550.3333333
1990,212.4291939,447.6122004,0.441607456,201.4270153,414.1459695,0.452844298,111.1328976,146.037037,0.724467562,221.627451,128.5555556,120.5381264,546.9934641
1991,220.5555556,464.9909297,0.458643182,208.521542,427.3786848,0.471202273,113.1632653,147.9183673,0.73656582,230.4648526,128.7278912,123.0362812,566.30839
1992,205.9148472,436.8842795,0.449821192,193.3908297,398.8209607,0.462317881,100.9213974,133.139738,0.728494253,218.0633188,123.6004367,111.989083,525.2751092
1993,206.5790646,436.7394209,0.452817372,191.3541203,391.3407572,0.469013393,106.064588,140.7483296,0.722804147,220.5723831,125.0155902,119.2316258,534.4476615
1994,193.1268191,415.3929314,0.440891213,177.2307692,367.5114345,0.453472803,95.78794179,130.4303534,0.700687773,210.5904366,118.0644491,108.9272349,497.9376299
1995,194.9646018,418.9933628,0.437538803,166.6261062,339.6261062,0.463828508,102.2389381,138.7765487,0.720436073,213.8871681,119.3141593,120.6039823,520.5066372
1996,177.8036697,386.0550459,0.444417745,149.9816514,309.8440367,0.463979667,93.86605505,126.9816514,0.71038403,199.4880734,110.3669725,113.3100917,477.2954128
1997,162.5278746,358.9494774,0.429036778,134.9912892,282.2752613,0.447476357,84.24216028,114.2334495,0.708313761,186.8832753,101.2578397,101.6097561,436.8344948
1998,171.8994516,383.4332724,0.4291875,150.4990859,321.2285192,0.446648897,92.43510055,125.3071298,0.711150476,198.2925046,106.7294333,107.8976234,457.6343693
1999,103.2978304,236.4891519,0.411487078,89.73964497,196.5266272,0.427440239,56.78500986,78.16568047,0.704256356,125.8205128,62.95463511,67.64102564,276.938856
2000,183.2560484,409.5080645,0.427390688,159.3084677,341.3790323,0.445137931,94.21975806,125.6754032,0.728875,212.4052419,110.5645161,116.1108871,484.6794355
