"","Year","Player","STL","PTS","AST","BLK","TRB"
"4054",1974,"Larry Steele",217,NA,NA,NA,NA
"4002",1974,"Steve Mix",212,NA,NA,NA,NA
"4050",1974,"Randy Smith",203,NA,NA,NA,NA
"4046",1974,"Jerry Sloan*",183,NA,NA,NA,NA
"3862",1974,"Rick Barry*",169,NA,NA,NA,NA
"4064",1974,"Norm Van",162,NA,NA,NA,NA
"3917",1974,"Walt Frazier*",161,NA,NA,NA,NA
"3947",1974,"Lou Hudson",160,NA,NA,NA,NA
"4008",1974,"Calvin Murphy*",157,NA,NA,NA,NA
"4022",1974,"Jim Price",157,NA,NA,NA,NA
"4117",1975,"Rick Barry*",228,NA,NA,NA,NA
"4191",1975,"Walt Frazier*",190,NA,NA,NA,NA
"4349",1975,"Slick Watts",190,NA,NA,NA,NA
"4143",1975,"Fred Brown",187,NA,NA,NA,NA
"4322",1975,"Larry Steele",183,NA,NA,NA,NA
"4154",1975,"Phil Chenier",176,NA,NA,NA,NA
"4310",1975,"Jerry Sloan*",171,NA,NA,NA,NA
"4209",1975,"Elvin Hayes*",158,NA,NA,NA,NA
"4287",1975,"Kevin Porter",152,NA,NA,NA,NA
"4291",1975,"Ed Ratleff",146,NA,NA,NA,NA
"4627",1976,"Slick Watts",261,NA,NA,NA,NA
"4632",1976,"Paul Westphal",210,NA,NA,NA,NA
"4390",1976,"Rick Barry*",202,NA,NA,NA,NA
"4536",1976,"George McGinnis",198,NA,NA,NA,NA
"4453",1976,"Chris Ford",178,NA,NA,NA,NA
"4609",1976,"Larry Steele",170,NA,NA,NA,NA
"4422",1976,"Phil Chenier",158,NA,NA,NA,NA
"4548",1976,"Steve Mix",158,NA,NA,NA,NA
"4603",1976,"Randy Smith",153,NA,NA,NA,NA
"4553",1976,"Calvin Murphy*",151,NA,NA,NA,NA
"4696",1977,"Don Buse",281,NA,NA,NA,NA
"4976",1977,"Slick Watts",214,NA,NA,NA,NA
"4947",1977,"Brian Taylor",199,NA,NA,NA,NA
"4693",1977,"Quinn Buckner",192,NA,NA,NA,NA
"4757",1977,"Mike Gale",191,NA,NA,NA,NA
"4815",1977,"Bobby Jones",186,NA,NA,NA,NA
"4750",1977,"Chris Ford",179,NA,NA,NA,NA
"4937",1977,"Randy Smith",176,NA,NA,NA,NA
"4669",1977,"Rick Barry*",172,NA,NA,NA,NA
"4797",1977,"Wilbur Holland",169,NA,NA,NA,NA
"5213",1978,"Ron Lee",225,NA,NA,NA,NA
"5060",1978,"Quinn Buckner",188,NA,NA,NA,NA
"5063",1978,"Don Buse",185,NA,NA,NA,NA
"5368",1978,"Gus Williams",185,NA,NA,NA,NA
"5341",1978,"Foots Walker",176,NA,NA,NA,NA
"5322",1978,"Randy Smith",172,NA,NA,NA,NA
"5326",1978,"Ricky Sobers",170,NA,NA,NA,NA
"5126",1978,"Chris Ford",166,NA,NA,NA,NA
"5167",1978,"Wilbur Holland",164,NA,NA,NA,NA
"5217",1978,"John Lucas",160,NA,NA,NA,NA
"5551",1979,"Eddie Jordan",201,NA,NA,NA,NA
"5611",1979,"Norm Nixon",201,NA,NA,NA,NA
"5438",1979,"M.L. Carr",197,NA,NA,NA,NA
"5670",1979,"Randy Smith",177,NA,NA,NA,NA
"5444",1979,"Maurice Cheeks",174,NA,NA,NA,NA
